LAST SEEN   TYPE      REASON                            OBJECT                                                                           MESSAGE
43m         Normal    RedactClaim                       compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Stopped composite resource claim controller
43m         Normal    RedactClaim                       compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Deleted composite resource claim CustomResourceDefinition
43m         Normal    TerminateComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Stopped composite resource controller
41m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Rendered composite resource CustomResourceDefinition
41m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Rendered composite resource claim CustomResourceDefinition
43m         Warning   EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   cannot add composite resource finalizer: cannot update object: Operation cannot be fulfilled on compositeresourcedefinitions.apiextensions.crossplane.io "xcrossplaneapgsserverless.aws.database.example.org": the object has been modified; please apply your changes to the latest version and try again
6m34s       Normal    ApplyClusterRoles                 compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Applied RBAC ClusterRoles
41m         Normal    OfferClaim                        compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Applied composite resource claim CustomResourceDefinition
43m         Normal    OfferClaim                        compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   waiting for composite resource claim CustomResourceDefinition to be established
43m         Warning   OfferClaim                        compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   cannot apply rendered composite resource claim CustomResourceDefinition: cannot update object: Operation cannot be fulfilled on customresourcedefinitions.apiextensions.k8s.io "crossplaneapgsserverless.aws.database.example.org": the object has been modified; please apply your changes to the latest version and try again
41m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   Applied composite resource CustomResourceDefinition
43m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   waiting for composite resource CustomResourceDefinition to be established
43m         Warning   EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   cannot apply rendered composite resource CustomResourceDefinition: cannot update object: Operation cannot be fulfilled on customresourcedefinitions.apiextensions.k8s.io "xcrossplaneapgsserverless.aws.database.example.org": the object has been modified; please apply your changes to the latest version and try again
41m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   (Re)started composite resource controller
41m         Normal    OfferClaim                        compositeresourcedefinition/xcrossplaneapgsserverless.aws.database.example.org   (Re)started composite resource claim controller
41m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        Rendered composite resource CustomResourceDefinition
41m         Normal    RenderCRD                         compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        Rendered composite resource claim CustomResourceDefinition
41m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        Applied composite resource CustomResourceDefinition
6m34s       Normal    ApplyClusterRoles                 compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        Applied RBAC ClusterRoles
41m         Normal    OfferClaim                        compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        Applied composite resource claim CustomResourceDefinition
41m         Normal    EstablishComposite                compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        (Re)started composite resource controller
41m         Normal    OfferClaim                        compositeresourcedefinition/xcrossplanememorydbs.aws.database.example.org        (Re)started composite resource claim controller
